meter, pressure_hpa, bmp280_temp, CO2, O3
534.78, 946.75, 21.30, 767.00, 239.94
534.78, 946.75, 21.31, 774.00, 272.06
534.95, 946.73, 21.31, 776.00, 214.58
534.95, 946.73, 21.31, 769.00, 272.06
534.95, 946.73, 21.31, 771.00, 226.55
535.21, 946.70, 21.31, 771.00, 291.57
535.48, 946.67, 21.31, 757.00, 255.00
535.57, 946.66, 21.30, 767.00, 314.07
535.30, 946.69, 21.30, 771.00, 226.55
534.86, 946.74, 21.30, 774.00, 371.36
535.13, 946.71, 21.30, 769.00, 272.06
535.21, 946.70, 21.31, 774.00, 239.94
534.78, 946.75, 21.32, 769.00, 408.59
534.60, 946.77, 21.30, 769.00, 291.57
535.65, 946.65, 21.31, 767.00, 291.57
535.48, 946.67, 21.31, 771.00, 255.00
534.86, 946.74, 21.32, 757.00, 272.06
535.13, 946.71, 21.31, 774.00, 291.57
534.78, 946.75, 21.32, 764.00, 272.06
534.95, 946.73, 21.31, 759.00, 194.04
535.13, 946.71, 21.32, 771.00, 255.00
534.42, 946.79, 21.32, 767.00, 291.57
534.86, 946.74, 21.32, 764.00, 255.00
534.86, 946.74, 21.32, 769.00, 371.36
535.30, 946.69, 21.32, 769.00, 255.00
534.86, 946.74, 21.32, 764.00, 255.00
534.78, 946.75, 21.32, 767.00, 291.57
534.60, 946.77, 21.32, 769.00, 291.57
535.48, 946.67, 21.31, 759.00, 291.57
535.13, 946.71, 21.32, 769.00, 272.06
535.13, 946.71, 21.32, 767.00, 255.00
535.48, 946.67, 21.32, 769.00, 314.07
535.04, 946.72, 21.32, 771.00, 255.00
534.60, 946.77, 21.32, 769.00, 255.00
535.21, 946.70, 21.33, 764.00, 255.00
535.13, 946.71, 21.31, 771.00, 272.06
535.30, 946.69, 21.32, 755.00, 255.00
534.95, 946.73, 21.33, 774.00, 272.06
534.69, 946.76, 21.33, 769.00, 255.00
535.04, 946.72, 21.32, 771.00, 255.00
535.04, 946.72, 21.32, 776.00, 340.33
534.69, 946.76, 21.33, 764.00, 272.06
535.04, 946.72, 21.32, 767.00, 255.00
534.51, 946.78, 21.32, 764.00, 291.57
534.69, 946.76, 21.33, 757.00, 255.00
535.13, 946.71, 21.32, 771.00, 239.94
535.21, 946.70, 21.33, 764.00, 314.07
535.21, 946.70, 21.33, 767.00, 255.00
535.48, 946.67, 21.32, 767.00, 255.00
535.39, 946.68, 21.33, 762.00, 272.06
535.30, 946.69, 21.32, 757.00, 255.00
535.13, 946.71, 21.33, 771.00, 203.80
535.39, 946.68, 21.33, 769.00, 291.57
535.57, 946.66, 21.33, 771.00, 203.80
534.95, 946.73, 21.33, 764.00, 239.94
535.39, 946.68, 21.33, 767.00, 291.57
535.39, 946.68, 21.33, 771.00, 226.55
534.51, 946.78, 21.34, 767.00, 272.06
534.86, 946.74, 21.34, 788.00, 291.57
535.30, 946.69, 21.34, 764.00, 255.00
535.13, 946.71, 21.33, 767.00, 291.57
534.78, 946.75, 21.34, 767.00, 291.57
534.95, 946.73, 21.33, 769.00, 255.00
535.13, 946.71, 21.33, 755.00, 255.00
535.21, 946.70, 21.33, 767.00, 255.00
534.86, 946.74, 21.34, 767.00, 272.06
534.51, 946.78, 21.34, 750.00, 255.00
535.57, 946.66, 21.34, 771.00, 272.06
535.04, 946.72, 21.34, 774.00, 291.57
535.65, 946.65, 21.35, 764.00, 291.57
534.78, 946.75, 21.34, 764.00, 255.00
535.04, 946.72, 21.34, 764.00, 255.00
535.13, 946.71, 21.35, 767.00, 255.00
536.01, 946.61, 21.34, 785.00, 371.36
535.30, 946.69, 21.34, 767.00, 255.00
534.95, 946.73, 21.35, 769.00, 194.04
534.95, 946.73, 21.35, 757.00, 239.94
534.95, 946.73, 21.34, 755.00, 291.57
534.95, 946.73, 21.34, 767.00, 291.57
534.86, 946.74, 21.35, 764.00, 291.57
535.74, 946.64, 21.34, 755.00, 255.00
534.95, 946.73, 21.35, 767.00, 255.00
535.48, 946.67, 21.34, 771.00, 255.00
534.60, 946.77, 21.35, 769.00, 255.00
534.86, 946.74, 21.35, 767.00, 314.07
535.39, 946.68, 21.35, 767.00, 203.80
535.13, 946.71, 21.35, 767.00, 272.06
534.78, 946.75, 21.35, 769.00, 291.57
534.95, 946.73, 21.35, 771.00, 272.06
534.95, 946.73, 21.35, 774.00, 291.57
534.95, 946.73, 21.35, 764.00, 239.94
535.13, 946.71, 21.35, 764.00, 239.94
535.30, 946.69, 21.35, 771.00, 255.00
535.74, 946.64, 21.35, 755.00, 255.00
535.39, 946.68, 21.35, 755.00, 314.07
534.78, 946.75, 21.35, 771.00, 255.00
535.13, 946.71, 21.35, 767.00, 255.00
535.30, 946.69, 21.35, 769.00, 291.57
534.60, 946.77, 21.35, 771.00, 272.06
535.39, 946.68, 21.36, 759.00, 194.04
535.48, 946.67, 21.35, 755.00, 291.57
535.30, 946.69, 21.35, 764.00, 272.06
535.21, 946.70, 21.36, 764.00, 162.84
535.04, 946.72, 21.35, 764.00, 291.57
535.48, 946.67, 21.35, 769.00, 272.06
534.78, 946.75, 21.35, 764.00, 255.00
535.13, 946.71, 21.35, 762.00, 272.06
535.13, 946.71, 21.35, 776.00, 2046.97
535.21, 946.70, 21.36, 764.00, 255.00
535.30, 946.69, 21.35, 762.00, 239.94
535.04, 946.72, 21.35, 778.00, 214.58
535.30, 946.69, 21.35, 755.00, 291.57
534.95, 946.73, 21.36, 767.00, 291.57
535.39, 946.68, 21.36, 769.00, 255.00
535.21, 946.70, 21.36, 767.00, 272.06
534.86, 946.74, 21.36, 767.00, 272.06
535.04, 946.72, 21.35, 759.00, 239.94
535.30, 946.69, 21.35, 764.00, 272.06
535.04, 946.72, 21.35, 767.00, 272.06
535.65, 946.65, 21.36, 769.00, 291.57
534.86, 946.74, 21.36, 764.00, 255.00
535.21, 946.70, 21.36, 767.00, 272.06
535.21, 946.70, 21.36, 769.00, 239.94
534.69, 946.76, 21.36, 795.00, 314.07
535.21, 946.70, 21.36, 769.00, 255.00
535.65, 946.65, 21.36, 771.00, 272.06
535.57, 946.66, 21.35, 767.00, 291.57
535.57, 946.66, 21.36, 769.00, 255.00
535.21, 946.70, 21.36, 764.00, 291.57
535.13, 946.71, 21.36, 771.00, 255.00
535.39, 946.68, 21.35, 767.00, 272.06
535.04, 946.72, 21.37, 755.00, 291.57
535.39, 946.68, 21.36, 771.00, 239.94
534.86, 946.74, 21.36, 764.00, 272.06
